fips,county,state,state_name,pct_high_blood_pressure,pct_heart_disease,pct_smoking,pct_depression,pct_diabetes,pct_fair_poor_health,pct_physically_inactive,pct_poor_mental_health_days,pct_obese,pct_poor_physical_health_days,pct_poor_sleep
01001,Autauga,AL,Alabama,42.0,6.7,14.5,25.1,13.3,21.0,27.0,17.0,39.8,13.7,37.3
01003,Baldwin,AL,Alabama,43.8,7.5,13.0,22.5,13.4,19.3,25.4,15.1,35.2,13.2,34.8
01005,Barbour,AL,Alabama,50.2,9.5,20.2,22.1,19.6,31.4,36.2,18.5,46.8,17.4,43.0
01007,Bibb,AL,Alabama,46.3,8.5,19.7,24.4,16.2,27.6,33.3,18.9,43.9,16.7,40.6
01009,Blount,AL,Alabama,41.2,8.0,16.6,24.8,13.8,23.6,29.1,17.5,36.1,15.4,36.5
01011,Bullock,AL,Alabama,56.6,10.7,24.7,21.1,24.6,39.4,44.2,20.1,51.3,19.7,49.8
01013,Butler,AL,Alabama,51.0,9.1,18.3,22.5,18.9,28.9,37.1,18.3,40.4,16.6,41.8
01015,Calhoun,AL,Alabama,44.8,7.7,16.3,24.6,14.8,25.2,31.9,18.4,38.6,15.3,41.6
01017,Chambers,AL,Alabama,48.7,8.6,17.7,22.7,17.9,27.6,34.3,18.3,41.5,16.2,41.4
01019,Cherokee,AL,Alabama,45.9,9.6,17.5,25.0,16.0,25.5,31.4,17.4,39.5,16.8,35.4
01021,Chilton,AL,Alabama,43.1,7.6,16.9,24.5,14.1,24.0,31.1,18.2,40.0,15.6,33.6
01023,Choctaw,AL,Alabama,52.7,10.0,18.2,23.3,20.1,30.3,36.4,17.8,44.4,17.4,41.5
01025,Clarke,AL,Alabama,49.5,8.7,17.7,22.6,18.4,28.6,34.4,18.0,43.9,16.3,42.4
01027,Clay,AL,Alabama,47.6,9.3,18.2,24.4,16.5,27.0,32.7,18.0,42.5,16.9,39.3
01029,Cleburne,AL,Alabama,42.9,8.4,17.8,25.5,14.6,24.0,30.5,18.1,37.4,15.9,37.4
01031,Coffee,AL,Alabama,43.5,7.6,16.6,24.3,14.8,23.9,29.9,17.7,41.0,15.0,40.5
01033,Colbert,AL,Alabama,44.3,8.0,16.2,24.5,15.0,23.6,28.6,17.3,37.5,15.2,40.2
01035,Conecuh,AL,Alabama,54.7,11.1,20.5,22.3,22.1,33.3,39.4,18.3,46.4,18.6,41.8
