fips,state,county,ypll_premature_death,life_expectancy,pct_physically_inactive_chr,pct_exercise_access,pm25_air_pollution,pct_unemployed,pct_uninsured,pct_hs_graduation,social_associations_per_10k,median_household_income,pct_park_access,pct_severe_housing_cost_burden,drug_overdose_deaths_per_100k,injury_deaths_per_100k,pct_homeownership
00000,US,United States,8351.7365494,77.099412282,0.232,0.8445242486,7.3,0.036390896,0.0954837794,0.87,9.0915185291,77719.0,0.509125452,0.147123724,30.808248914,83.562394901,0.6502210081
01000,AL,Alabama,11853.247248,73.279289325,0.278,0.6141318983,8.6,0.0249824318,0.1048872681,0.8827366389,11.658760151,62248.0,0.1678049726,0.1232858113,26.131132528,93.387131733,0.6993339614
01001,AL,Autauga County,9938.2633823,74.800645825,0.257,0.5449196497,9.3,0.0218888889,0.0819036072,0.83,11.21170033,68857.0,0.0539579968,0.0982333798,10.857204898,65.975725122,0.7491009191
01003,AL,Baldwin County,8957.1126859,76.580109234,0.238,0.6162439001,7.8,0.0227949698,0.1021234205,0.8673389021,9.6982977256,74248.0,0.1657224713,0.1155147835,31.607684304,82.420053413,0.7753534372
01005,AL,Barbour County,12738.656137,72.708991709,0.349,0.5485866075,8.8,0.0443101712,0.1211704165,0.751627907,8.9047195013,45298.0,0.0973318003,0.1066602894,16.159657415,85.603992699,0.6748898678
01007,AL,Bibb County,11708.948038,72.977378514,0.322,0.4339030189,8.6,0.024623803,0.1083579882,0.91,8.6344012724,56025.0,0.182119948,0.1100699301,27.019724399,99.630201415,0.7717606657
01009,AL,Blount County,11898.088409,72.936172299,0.297,0.4229208239,8.8,0.0214429478,0.1251558215,0.9385098336,7.3934668638,64962.0,0.0372712822,0.0936733221,23.805205405,98.254695342,0.7950584702
01011,AL,Bullock County,15998.089209,70.96745637,0.399,0.428405909,8.4,0.0237777778,0.1140909091,0.825,4.900999804,36204.0,0.0028000386,0.1827411168,,116.28594517,0.6350999131
01013,AL,Butler County,14616.39262,71.541917066,0.343,0.4272216682,8.4,0.0291930292,0.1038040427,0.76,9.1152815013,44729.0,0.0935908876,0.1043018868,21.038605842,120.62475303,0.6841090609
01015,AL,Calhoun County,14259.564795,70.813154873,0.285,0.644927474,8.9,0.0281949934,0.1183334269,0.9208569119,13.904722424,51841.0,0.1663846927,0.1096265368,33.60088521,99.10820068,0.703867036
