fips,walkability_score
01001,5.483
01003,6.813
01005,5.156
01007,5.241
01009,4.674
01011,4.501
01013,5.483
01015,5.731
01017,5.251
01019,4.324
01021,4.714
01023,3.944
01025,5.209
01027,4.291
01029,4.601
01031,6.014
01033,6.485
01035,4.647
01037,3.447
01039,5.199
01041,5.111
01043,5.099
01045,5.143
01047,6.113
01049,4.864
01051,5.373
01053,5.598
01055,5.933
01057,4.362
01059,5.089
01061,4.662
01063,3.856
01065,4.893
01067,4.756
01069,6.685
01071,4.708
01073,8.911
01075,4.846
01077,5.994
01079,3.658
01081,6.217
01083,5.153
01085,3.792
01087,4.653
01089,7.589
01091,5.549
01093,5.091
01095,5.905
01097,6.817
01099,4.53
01101,11.499
01103,6.131
01105,4.768
01107,4.408
01109,5.549
01111,4.854
01113,5.973
01115,5.562
01117,6.474
01119,4.689
01121,5.273
01123,5.09
01125,6.693
01127,5.35
01129,3.82
01131,4.691
01133,4.989
02013,5.823
02016,4.239
02020,10.017
02050,4.072
02060,7.249
02068,6.0
02070,4.546
02090,5.743
02100,6.474
02105,6.26
02110,10.241
02122,5.88
02130,7.793
02150,6.684
02158,5.431
02164,6.097
02170,5.534
02180,6.993
02185,4.884
02188,6.118
02195,8.226
02198,6.152
02220,12.899
02230,6.833
02240,5.197
02261,5.504
02275,5.583
02282,7.167
02290,5.203
04001,4.335
04003,6.095
04005,8.867
04007,5.522
04009,5.243
04011,3.738
04012,5.053
04013,11.079
04015,6.911
04017,5.352
04019,9.891
04021,5.927
04023,5.584
04025,7.156
04027,9.905
05001,6.37
05003,5.212
05005,5.96
05007,6.543
05009,6.186
05011,5.34
05013,4.153
05015,5.234
05017,5.6
05019,6.193
05021,5.49
05023,5.569
05025,3.366
05027,6.337
05029,5.222
05031,6.719
05033,5.828
05035,8.887
05037,5.817
05039,5.408
05041,6.261
05043,4.824
05045,6.525
05047,5.181
05049,3.939
05051,6.974
05053,4.084
05055,5.748
05057,5.504
05059,5.447
05061,5.903
05063,5.52
05065,5.573
05067,5.346
05069,6.225
05071,4.927
05073,5.237
05075,5.7
05077,4.688
05079,4.472
05081,4.355
05083,5.109
05085,5.642
05087,4.299
05089,4.669
05091,6.362
05093,6.091
05095,5.731
05097,4.424
05099,4.672
05101,4.707
05103,5.724
05105,4.783
05107,6.008
05109,5.601
05111,5.557
05113,5.39
05115,6.234
