fips,county,state,state_name,pct_high_blood_pressure,pct_heart_disease,pct_smoking,pct_depression,pct_diabetes,pct_fair_poor_health,pct_physically_inactive,pct_poor_mental_health_days,pct_obese,pct_poor_physical_health_days,pct_poor_sleep,ypll_premature_death,life_expectancy,pct_physically_inactive_chr,pct_exercise_access,pm25_air_pollution,pct_unemployed,pct_uninsured,pct_hs_graduation,social_associations_per_10k,median_household_income,pct_park_access,pct_severe_housing_cost_burden,drug_overdose_deaths_per_100k,injury_deaths_per_100k,pct_homeownership,metro_area,zhvi_latest,zhvi_1yr_ago,zhvi_5yr_ago,zhvi_1yr_chg_pct,zhvi_5yr_chg_pct,fitness_facilities_per_1k,race_count,population,races_per_100k,c1_activity,c2_race_density,c3_infrastructure,c4_facility_density,c1_activity_z,c2_race_density_z,c3_infrastructure_z,c4_facility_density_z,runscore_raw,runscore,walkability_score,c5_walkability,c5_walkability_z,rucc,is_metro,log_zhvi,log_income
01001,Autauga,AL,Alabama,42.0,6.7,14.5,25.1,13.3,21.0,27.0,17.0,39.8,13.7,37.3,9938.2633823,74.800645825,0.257,0.5449196497,9.3,0.0218888889,0.0819036072,0.83,11.21170033,68857.0,0.0539579968,0.0982333798,10.857204898,65.975725122,0.7491009191,"Montgomery, AL",257988.055927622,251041.62928059977,196837.5769118932,2.7670417320538876,31.066466055462794,,1,60342.0,1.66,73.0,1.66,54.49196497,0.0,0.2620443656637402,-0.3291052465731085,-0.3287795959734696,-0.6487372493815813,-0.3141081028784789,34.08,5.483,5.483,-0.5259627881279757,2,1,12.460668567977937,11.139787169286475
01003,Baldwin,AL,Alabama,43.8,7.5,13.0,22.5,13.4,19.3,25.4,15.1,35.2,13.2,34.8,8957.1126859,76.580109234,0.238,0.6162439001,7.8,0.0227949698,0.1021234205,0.8673389021,9.6982977256,74248.0,0.1657224713,0.1155147835,31.607684304,82.420053413,0.7753534372,"Daphne-Fairhope-Foley, AL",365569.6187462131,369399.40969872987,279384.1227677686,-1.0367615247788953,30.848387204194893,,11,253507.0,4.34,74.6,4.34,61.62439001,0.0,0.5510686495757815,-0.1463786364112889,-0.0171494575276713,-0.6487372493815813,-0.0184323433603962,55.33,6.813,6.813,0.1690349769427786,3,1,12.809212015399677,11.215166120275228
01005,Barbour,AL,Alabama,50.2,9.5,20.2,22.1,19.6,31.4,36.2,18.5,46.8,17.4,43.0,12738.656137,72.708991709,0.349,0.5485866075,8.8,0.0443101712,0.1211704165,0.751627907,8.9047195013,45298.0,0.0973318003,0.1066602894,16.159657415,85.603992699,0.6748898678,"Eufaula, AL-GA",141526.22750485042,145112.0383958474,127643.31046401792,-2.471063690260711,10.876337342211162,,0,24585.0,0.0,63.8,0.0,54.85866075,0.0,-1.399845266830503,-0.4422866543599072,-0.312757912457972,-0.6487372493815813,-0.7000930523034881,12.09,5.156,5.156,-0.6968381784874769,6,0,11.860240332280782,10.721018160386105
01007,Bibb,AL,Alabama,46.3,8.5,19.7,24.4,16.2,27.6,33.3,18.9,43.9,16.7,40.6,11708.948038,72.977378514,0.322,0.4339030189,8.6,0.024623803,0.1083579882,0.91,8.6344012724,56025.0,0.182119948,0.1100699301,27.019724399,99.630201415,0.7717606657,"Birmingham-Hoover, AL",208272.32874078504,215359.47109820475,183207.25718379815,-3.290843129062082,13.681265656327678,,3,21868.0,13.72,66.7,13.72,43.39030189,0.0,-0.8759887522399256,0.4931644991550799,-0.8138338072966645,-0.6487372493815813,-0.499563267570262,22.53,5.241,5.241,-0.6524210280882181,1,1,12.246601775125452,10.933553298669128
01009,Blount,AL,Alabama,41.2,8.0,16.6,24.8,13.8,23.6,29.1,17.5,36.1,15.4,36.5,11898.088409,72.936172299,0.297,0.4229208239,8.8,0.0214429478,0.1251558215,0.9385098336,7.3934668638,64962.0,0.0372712822,0.0936733221,23.805205405,98.254695342,0.7950584702,"Birmingham-Hoover, AL",227671.779518183,229497.2283528842,186844.11067171357,-0.7954121484614718,21.851193864067753,,7,59816.0,11.7,70.9,11.7,42.29208239,0.0,-0.1173000069708141,0.3554377258241561,-0.861817248119321,-0.6487372493815813,-0.4442252655268726,25.42,4.674,4.674,-0.9487095489868024,1,1,12.335660307252779,11.081557762538953
01011,Bullock,AL,Alabama,56.6,10.7,24.7,21.1,24.6,39.4,44.2,20.1,51.3,19.7,49.8,15998.089209,70.96745637,0.399,0.428405909,8.4,0.0237777778,0.1140909091,0.825,4.900999804,36204.0,0.0028000386,0.1827411168,,116.28594517,0.6350999131,,124651.3613603955,124828.21716068128,110313.22598108316,-0.141679344869694,12.997657580761055,,1,9897.0,10.1,55.8,10.1,42.840590899999995,0.0,-2.8449666863907144,0.2463472122947115,-0.8378517971049216,-0.6487372493815813,-1.0248640068999129,2.67,4.501,4.501,-1.0391115139170586,8,0,11.733276010355326,10.496924888947062
01013,Butler,AL,Alabama,51.0,9.1,18.3,22.5,18.9,28.9,37.1,18.3,40.4,16.6,41.8,14616.39262,71.541917066,0.343,0.4272216682,8.4,0.0291930292,0.1038040427,0.76,9.1152815013,44729.0,0.0935908876,0.1043018868,21.038605842,120.62475303,0.6841090609,,110564.47305502016,126267.31280138802,110424.4735079846,-12.43618748033991,0.1267830785948387,,0,18382.0,0.0,62.9,0.0,42.72216682,0.0,-1.5624214265310266,-0.4422866543599072,-0.8430259857208198,-0.6487372493815813,-0.804486820824262,8.27,5.483,5.483,-0.5259627881279757,6,0,11.61335409635078,10.708377339816602
01015,Calhoun,AL,Alabama,44.8,7.7,16.3,24.6,14.8,25.2,31.9,18.4,38.6,15.3,41.6,14259.564795,70.813154873,0.285,0.644927474,8.9,0.0281949934,0.1183334269,0.9208569119,13.904722424,51841.0,0.1663846927,0.1096265368,33.60088521,99.10820068,0.703867036,"Anniston-Oxford, AL",168175.08035824235,161073.02247822325,139444.92225858997,4.409216249095516,20.60323003111901,,17,116429.0,14.6,68.1,14.6,64.4927474,0.0,-0.6230925038168902,0.5531642815962744,0.1081749034778427,-0.6487372493815813,-0.201371957605722,42.32,5.731,5.731,-0.3963692199042559,3,1,12.03276086071883,10.855936620963561
01017,Chambers,AL,Alabama,48.7,8.6,17.7,22.7,17.9,27.6,34.3,18.3,41.5,16.2,41.4,12568.860637,71.861783224,0.337,0.5001437939,8.9,0.0238446411,0.1273807243,0.8260416667,16.428068529,50390.0,0.0182043023,0.0972611267,11.823359016,97.408575518,0.7098889634,"LaGrange, GA-AL",134618.16092974276,137832.33911564175,117730.3356668104,-2.3319477899901853,14.344497675371226,,1,34079.0,2.93,65.7,2.93,50.014379389999995,0.0,-1.056628929684952,-0.2425146514591119,-0.524414405504999,-0.6487372493815813,-0.6238981434026134,15.49,5.251,5.251,-0.6471954809824226,6,0,11.810197612275005,10.827548021674644
01019,Cherokee,AL,Alabama,45.9,9.6,17.5,25.0,16.0,25.5,31.4,17.4,39.5,16.8,35.4,12680.903028,72.395529183,0.269,0.2998278002,8.4,0.0239581576,0.1325415178,0.93,7.9045134772,56400.0,0.0346001362,0.0744437513,19.584290788,110.23133054,0.794502243,,221769.26652502292,219780.9583270313,178289.853634455,0.9046771900198314,24.386925001191084,,22,25666.0,85.72,68.6,85.72,29.98278002,0.0,-0.5327724150943769,5.402237607980085,-1.399635673160111,-0.6487372493815813,0.3378977145308767,72.92,4.324,4.324,-1.1316036976896329,8,0,12.309392780388714,10.940224437486151
