fips,rucc,is_metro
01001,2,1
01003,3,1
01005,6,0
01007,1,1
01009,1,1
01011,8,0
01013,6,0
01015,3,1
01017,6,0
01019,8,0
01021,1,1
01023,9,0
01025,9,0
01027,9,0
01029,8,0
01031,4,0
01033,3,1
01035,9,0
01037,8,0
01039,6,0
01041,8,0
01043,4,0
01045,4,0
01047,4,0
01049,6,0
01051,2,1
01053,6,0
01055,3,1
01057,8,0
01059,6,0
01061,3,1
01063,2,1
01065,2,1
01067,3,1
01069,3,1
01071,6,0
01073,1,1
01075,8,0
01077,3,1
01079,3,1
01081,3,1
01083,2,1
01085,2,1
01087,3,1
01089,2,1
01091,6,0
01093,9,0
01095,4,0
01097,2,1
01099,8,0
01101,2,1
01103,3,1
01105,8,0
01107,2,1
01109,6,0
01111,8,0
01113,2,1
01115,1,1
01117,1,1
01119,8,0
01121,4,0
01123,6,0
01125,2,1
01127,1,1
01129,8,0
01131,9,0
01133,8,0
02013,9,0
02016,9,0
02020,2,1
02050,7,0
02060,9,0
02063,9,0
02066,9,0
02068,9,0
02070,9,0
02090,3,1
02100,9,0
02105,9,0
02110,5,0
02122,7,0
02130,7,0
02150,7,0
02158,9,0
02164,9,0
02170,2,1
02180,9,0
02185,9,0
02188,9,0
02195,9,0
02198,9,0
02220,7,0
02230,9,0
02240,9,0
02275,9,0
02282,9,0
02290,8,0
04001,8,0
04003,3,1
04005,3,1
04007,4,0
04009,7,0
04011,9,0
04012,6,0
04013,1,1
04015,3,1
04017,4,0
04019,1,1
04021,1,1
04023,6,0
04025,3,1
04027,3,1
05001,6,0
05003,7,0
05005,7,0
05007,2,1
05009,7,0
05011,7,0
05013,9,0
05015,6,0
05017,9,0
05019,7,0
05021,9,0
05023,6,0
05025,8,0
05027,7,0
05029,6,0
05031,3,1
05033,3,1
05035,1,1
05037,6,0
05039,8,0
05041,9,0
05043,7,0
05045,2,1
05047,8,0
05049,9,0
05051,3,1
05053,2,1
05055,4,0
05057,6,0
05059,6,0
05061,8,0
05063,7,0
05065,9,0
05067,6,0
05069,4,0
05071,7,0
05073,8,0
05075,6,0
05077,8,0
05079,9,0
05081,3,1
05083,8,0
05085,2,1
05087,2,1
05089,9,0
05091,3,1
05093,4,0
05095,9,0
05097,8,0
05099,9,0
05101,9,0
05103,7,0
05105,2,1
05107,7,0
05109,9,0
05111,3,1
05113,7,0
05115,5,0
05117,8,0
05119,2,1
05121,7,0
05123,6,0
05125,2,1
05127,8,0
05129,9,0
05131,3,1
05133,6,0
05135,9,0
05137,9,0
05139,7,0
05141,8,0
05143,2,1
05145,4,0
05147,9,0
05149,9,0
06001,1,1
06003,8,0
06005,6,0
06007,3,1
06009,6,0
06011,6,0
06013,1,1
06015,7,0
06017,1,1
06019,1,1
06021,6,0
06023,5,0
06025,3,1
06027,6,0
06029,2,1
06031,3,1
06033,4,0
06035,7,0
06037,1,1
06039,1,1
06041,1,1
06043,8,0
06045,4,0
06047,2,1
06049,8,0
06051,7,0
06053,2,1
06055,3,1
06057,4,0
06059,1,1
06061,1,1
06063,9,0
06065,1,1
06067,1,1
06069,1,1
06071,1,1
06073,1,1
06075,1,1
06077,2,1
06079,2,1
06081,1,1
06083,2,1
06085,1,1
06087,2,1
06089,3,1
06091,8,0
06093,7,0
06095,2,1
06097,2,1
06099,2,1
06101,3,1
06103,4,0
06105,8,0
06107,2,1
06109,4,0
06111,2,1
06113,1,1
06115,3,1
08001,1,1
08003,7,0
08005,1,1
08007,7,0
08009,9,0
08011,9,0
08013,2,1
08014,1,1
08015,6,0
08017,9,0
08019,1,1
08021,9,0
08023,9,0
08025,8,0
08027,8,0
08029,6,0
08031,1,1
08033,9,0
08035,1,1
08037,5,0
08039,1,1
08041,2,1
08043,4,0
08045,5,0
08047,1,1
08049,9,0
08051,7,0
08053,9,0
08055,8,0
08057,9,0
08059,1,1
08061,9,0
08063,9,0
08065,9,0
08067,6,0
08069,2,1
08071,7,0
08073,8,0
08075,6,0
08077,3,1
08079,9,0
08081,7,0
08083,6,0
08085,5,0
08087,6,0
08089,6,0
08091,9,0
08093,1,1
08095,9,0
08097,7,0
08099,7,0
08101,3,1
08103,9,0
08105,9,0
08107,7,0
08109,9,0
08111,9,0
08113,9,0
08115,9,0
08117,5,0
08119,2,1
08121,9,0
08123,2,1
08125,9,0
09110,1,1
09120,2,1
09130,1,1
09140,2,1
09150,4,0
09160,4,0
09170,2,1
09180,2,1
09190,2,1
10001,3,1
10003,1,1
10005,4,0
11001,1,1
12001,2,1
12003,1,1
12005,3,1
12007,6,0
12009,2,1
12011,1,1
12013,8,0
12015,3,1
12017,3,1
12019,1,1
12021,2,1
12023,4,0
12027,6,0
12029,8,0
12031,1,1
12033,2,1
12035,2,1
12037,8,0
12039,2,1
12041,2,1
12043,8,0
12045,8,0
12047,8,0
12049,6,0
12051,4,0
