fips,race_count
01001,1
01003,11
01007,3
01009,7
01011,1
01015,17
01017,1
01019,22
01021,3
01027,1
01029,1
01031,1
01033,1
01035,2
01037,1
01041,1
01043,2
01049,2
01051,2
01055,3
01059,1
01071,6
01073,46
01077,2
01079,3
01081,5
01083,6
01089,49
01095,1
01097,22
01099,1
01101,21
01103,3
01107,2
01111,1
01115,1
01117,9
01121,1
01125,6
01127,2
02020,26
02063,5
02066,1
02090,8
02100,1
02122,4
02130,9
02170,7
02275,1
04001,1
04003,3
04005,18
04007,2
04013,65
04015,5
04017,2
04019,32
04021,3
04023,1
04025,3
05001,1
05003,1
05005,5
05007,17
05009,3
05011,1
05015,5
05019,5
05023,5
05027,4
05031,10
05033,1
05035,1
05037,2
05045,14
05049,1
05051,4
05053,6
05057,3
05059,1
05061,1
05063,8
05065,2
05071,2
05081,1
05083,4
05087,6
05091,3
05097,2
05101,1
05105,3
05107,2
05113,5
05115,7
05119,44
05121,1
05125,2
05127,1
05131,31
05139,3
05143,7
05145,2
06001,36
06005,1
06007,8
06013,15
06017,11
06019,63
06023,3
06025,1
06027,3
06029,31
06031,4
06035,2
06037,265
06039,7
06041,8
06043,1
06045,9
06047,3
06051,1
06053,8
06055,4
06057,6
06059,62
06061,9
06063,1
06065,26
06067,45
06069,3
06071,10
06073,72
06075,39
06077,7
06079,5
06081,16
06083,8
06085,30
06087,6
06089,8
06091,1
06095,11
06097,8
06099,9
06101,2
06107,17
06109,3
06111,18
08001,31
08003,3
08005,61
08007,2
08013,34
08014,9
08015,11
08019,4
08027,1
08031,29
08033,1
08035,17
08041,52
08043,2
08045,5
08049,4
08051,3
08057,1
08059,21
08067,8
08069,48
08077,6
08081,2
08091,1
08093,6
08097,5
08101,8
08103,1
08107,9
08113,2
08117,1
08119,1
08123,5
09001,64
09003,52
09005,76
09007,18
09009,52
09011,30
09013,14
09015,11
10001,8
10003,61
10005,42
11001,1
12001,24
12005,36
12007,1
12009,56
12011,75
12015,27
12017,7
12021,41
12023,1
12031,32
12033,23
12035,13
12037,1
12039,1
12043,4
12049,1
12055,3
12057,67
12061,9
12063,2
12069,51
12071,32
12073,22
12075,2
12081,41
12083,34
12085,21
12086,71
12087,19
12089,2
12091,5
12093,1
12095,67
12097,5
12099,59
12101,29
12103,68
12105,19
12107,1
12109,5
12111,25
12113,4
12115,36
12117,18
12119,1
12127,48
12131,2
13009,1
13011,2
13013,7
13015,16
13019,1
13021,6
13025,2
13027,8
13029,3
13031,1
13033,2
13035,3
13039,5
13045,17
13047,6
13051,35
13057,36
13059,35
13063,13
13067,32
13071,1
13073,3
13075,1
13077,3
13079,8
13081,3
13083,1
13085,4
13089,43
13093,2
13095,2
13097,2
13103,2
13105,1
13107,1
13111,6
13113,7
13115,5
13117,23
13119,2
13121,38
13123,6
13127,13
13131,1
13133,8
13135,40
13137,5
13139,8
13143,2
13145,3
13147,2
13149,1
13151,2
13153,5
13157,2
13159,1
13167,1
13171,3
13179,2
13187,6
13191,1
13195,1
13197,1
13211,2
13213,1
13215,34
13221,1
13223,1
13237,4
13241,2
13245,29
13261,2
13277,2
13281,2
13293,1
13297,2
13305,1
13313,2
15001,13
15003,24
15009,5
16001,44
16003,1
16005,1
16011,5
16017,6
16019,7
16025,1
16027,2
16031,1
16037,1
16039,4
16043,3
16045,1
16047,2
16049,2
16053,3
16055,8
16057,1
16059,1
16069,2
16079,3
16081,1
16083,1
16085,1
17001,1
17005,3
17007,17
17011,7
17015,3
17017,4
17019,15
17021,4
17023,1
17025,1
17027,3
17029,6
17031,176
17033,2
17035,1
17037,6
17039,4
17041,1
17043,44
17047,1
17051,1
17055,7
17057,4
17059,1
17063,9
17067,1
17073,2
17075,2
17077,7
17081,1
17085,6
17087,3
17089,12
17091,5
17093,7
17097,24
17099,14
17101,1
17103,7
17105,5
17107,3
17109,1
17111,5
17113,24
17115,9
17117,2
17119,16
17121,2
17127,1
17131,1
17137,5
17141,6
17143,6
17147,4
17149,2
17155,1
17159,2
17161,3
17163,7
17167,19
17173,2
17177,6
17179,7
17183,7
17193,1
17197,24
17199,9
17201,4
17203,2
18001,1
18003,53
18005,24
18007,2
18009,2
18011,15
18013,4
18015,3
18017,3
18019,8
18021,4
18023,2
18025,1
18027,1
18029,16
18031,11
18033,5
18035,10
18037,5
18039,20
18045,1
18047,4
18049,4
18051,8
18053,1
18055,14
18057,26
18059,11
18061,1
18063,9
18065,1
18067,4
18069,4
18071,4
18073,2
18077,10
18079,1
18081,11
18083,3
18085,10
18087,2
18089,27
18091,8
18093,6
18095,6
18097,55
18099,3
18103,1
18105,8
18109,2
18113,4
18115,1
18117,1
18121,4
18123,3
18127,23
18129,3
18131,1
18137,1
18141,10
18145,6
18149,1
18151,5
18157,5
18161,3
18163,17
18165,1
18167,13
18173,5
18177,1
19001,3
19003,1
19005,7
19007,1
19009,1
19011,4
19013,12
19015,3
19017,1
19021,3
19031,2
19033,5
19035,1
19037,1
19043,2
19045,2
19049,7
19055,4
19061,3
19065,1
19071,1
19073,2
19075,1
19081,1
19085,1
19087,1
19089,3
19093,2
19099,2
19101,1
19103,8
19111,1
19113,4
19115,1
19119,1
19121,1
19123,2
19127,1
19129,2
19153,44
19155,2
19163,17
19167,1
19169,3
19181,2
19183,1
19193,3
20005,3
20015,3
20017,2
20021,4
20027,1
20035,1
20043,1
20045,12
20051,2
20055,1
