fips,state,county,fitness_facilities_per_1k,pct_obese_usda
1001,AL,Autauga,0.160299226641655,38.3
1003,AL,Baldwin,0.0959496200084686,38.3
1005,AL,Barbour,,38.3
1007,AL,Bibb,,38.3
1009,AL,Blount,0.0691096931695938,38.3
1011,AL,Bullock,,38.3
1013,AL,Butler,,38.3
1015,AL,Calhoun,0.052877876907587,38.3
1017,AL,Chambers,,38.3
1019,AL,Cherokee,,38.3
1021,AL,Chilton,0.0900961756706237,38.3
1023,AL,Choctaw,,38.3
1025,AL,Clarke,,38.3
1027,AL,Clay,,38.3
1029,AL,Cleburne,,38.3
1031,AL,Coffee,,38.3
1033,AL,Colbert,0.144375666975975,38.3
1035,AL,Conecuh,,38.3
1037,AL,Coosa,,38.3
1039,AL,Covington,0.1083130240440369,38.3
1041,AL,Crenshaw,,38.3
1043,AL,Cullman,0.0473288781940937,38.3
1045,AL,Dale,,38.3
1047,AL,Dallas,,38.3
1049,AL,DeKalb,0.0418655276298522,38.3
1051,AL,Elmore,0.0608583465218544,38.3
1053,AL,Escambia,,38.3
1055,AL,Etowah,0.0683787390589714,38.3
1057,AL,Fayette,,38.3
1059,AL,Franklin,,38.3
1061,AL,Geneva,,38.3
1063,AL,Greene,,38.3
1065,AL,Hale,,38.3
1067,AL,Henry,,38.3
1069,AL,Houston,0.1032088547945023,38.3
1071,AL,Jackson,,38.3
1073,AL,Jefferson,0.1419106423854828,38.3
1075,AL,Lamar,,38.3
1077,AL,Lauderdale,0.0749721527099609,38.3
1079,AL,Lawrence,,38.3
1081,AL,Lee,0.0839172601699829,38.3
1083,AL,Limestone,0.0684743896126747,38.3
1085,AL,Lowndes,,38.3
1087,AL,Macon,,38.3
1089,AL,Madison,0.1686638444662094,38.3
1091,AL,Marengo,,38.3
1093,AL,Marion,,38.3
1095,AL,Marshall,0.0515517070889473,38.3
1097,AL,Mobile,0.0799581333994865,38.3
1099,AL,Monroe,,38.3
1101,AL,Montgomery,0.106838084757328,38.3
1103,AL,Morgan,0.0500487983226776,38.3
1105,AL,Perry,,38.3
1107,AL,Pickens,,38.3
1109,AL,Pike,,38.3
1111,AL,Randolph,,38.3
1113,AL,Russell,,38.3
1115,AL,St. Clair,0.0881649553775787,38.3
1117,AL,Shelby,0.1400003582239151,38.3
1119,AL,Sumter,,38.3
1121,AL,Talladega,0.0375070311129093,38.3
1123,AL,Tallapoosa,0.0747514516115188,38.3
1125,AL,Tuscaloosa,0.0854060128331184,38.3
1127,AL,Walker,0.0791853442788124,38.3
1129,AL,Washington,,38.3
