fips,county,state,metro_area,zhvi_latest,zhvi_1yr_ago,zhvi_5yr_ago,zhvi_1yr_chg_pct,zhvi_5yr_chg_pct
06037,Los Angeles County,CA,"Los Angeles-Long Beach-Anaheim, CA",878850.9529658627,888933.379826556,713928.3097939118,-1.1342162516903675,23.100728870040022
17031,Cook County,IL,"Chicago-Naperville-Elgin, IL-IN-WI",319888.06271528505,308727.77986691624,254203.3301800272,3.6149266687888204,25.839446119269894
48201,Harris County,TX,"Houston-The Woodlands-Sugar Land, TX",279263.9895144205,286443.10648991034,225829.72659265136,-2.5062976950163462,23.661306121205715
04013,Maricopa County,AZ,"Phoenix-Mesa-Chandler, AZ",460378.2147828457,471196.41142788617,359387.7687358476,-2.2958996254359487,28.1006909061579
06073,San Diego County,CA,"San Diego-Chula Vista-Carlsbad, CA",928459.2163216798,948228.543060768,685581.1329172297,-2.084869400289857,35.4265996747861
06059,Orange County,CA,"Los Angeles-Long Beach-Anaheim, CA",1169742.5563362828,1169046.3903361328,800387.6707830383,0.05954990374246183,46.146998390404484
36047,Kings County,NY,"New York-Newark-Jersey City, NY-NJ-PA",927316.8890497788,881968.9699337301,806846.7666043489,5.1416683196299,14.930979143962354
12086,Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",515479.292726219,533474.0805102749,349138.3071521887,-3.373132536606771,47.64329269131806
48113,Dallas County,TX,"Dallas-Fort Worth-Arlington, TX",306541.14309059625,319664.47846088815,246938.9243790304,-4.105346779059649,24.136421125768525
06065,Riverside County,CA,"Riverside-San Bernardino-Ontario, CA",603212.6542079329,615363.6479007957,452898.12900138,-1.97460375410764,33.18947807048567
36081,Queens County,NY,"New York-Newark-Jersey City, NY-NJ-PA",739474.6147189987,703788.1662495869,675169.8855641923,5.070623545658792,9.524229461311261
53033,King County,WA,"Seattle-Tacoma-Bellevue, WA",854906.6351658208,875826.7983461419,701899.2466224493,-2.388618756565275,21.79905296659679
32003,Clark County,NV,"Las Vegas-Henderson-Paradise, NV",427613.03073695255,438330.403023398,318756.4746321297,-2.4450442434569952,34.1503827429551
06071,San Bernardino County,CA,"Riverside-San Bernardino-Ontario, CA",547153.1817439556,557595.5470125045,416679.23842315376,-1.8727490426523774,31.312801620391873
48439,Tarrant County,TX,"Dallas-Fort Worth-Arlington, TX",320109.95238034334,329351.98795166594,254249.86196496745,-2.8061271555703815,25.903687776416806
48029,Bexar County,TX,"San Antonio-New Braunfels, TX",253752.06855960752,261185.42704058863,217217.7373588488,-2.8460081273316784,16.81922095542463
06085,Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA",1647223.959195869,1673929.2023815203,1272791.787552248,-1.5953627637093182,29.41817941516618
12011,Broward County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",419428.45592757384,443681.1351146051,308912.62038029585,-5.466240790419596,35.77575931058572
26163,Wayne County,MI,"Detroit-Warren-Dearborn, MI",171212.13243635657,167999.54735194254,131051.8055696654,1.9122581786985338,30.644619272599382
06001,Alameda County,CA,"San Francisco-Oakland-Berkeley, CA",1065341.32713469,1122709.3637111618,940672.2906319516,-5.109785170655334,13.253184742901759
36061,New York County,NY,"New York-Newark-Jersey City, NY-NJ-PA",1217413.3073095388,1206919.9497956217,1342476.877888135,0.8694327669116708,-9.315882652320607
25017,Middlesex County,MA,"Boston-Cambridge-Newton, MA-NH",795188.2645211535,784848.3716226147,611621.9887267131,1.3174382813793573,30.013027519921632
42101,Philadelphia County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",229322.39423180756,224604.08609925953,203117.19637490925,2.100722304073699,12.901516131863765
06067,Sacramento County,CA,"Sacramento-Roseville-Folsom, CA",523100.3289936354,537403.2398551715,449462.536763597,-2.6614857895889688,16.38352169688606
36103,Suffolk County,NY,"New York-Newark-Jersey City, NY-NJ-PA",696313.7569573551,676169.1280676239,515898.96626061224,2.979229316088561,34.97095410065316
12099,Palm Beach County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",464028.77192451246,484926.2260209034,330438.5410232641,-4.3094089317186395,40.42816267362803
36005,Bronx County,NY,"New York-Newark-Jersey City, NY-NJ-PA",492740.553623141,468516.99113593966,555180.7473155496,5.170263393963648,-11.246822587837201
12057,Hillsborough County,FL,"Tampa-St. Petersburg-Clearwater, FL",372837.5768602036,388126.35671336413,272518.9166198407,-3.9391243569813827,36.81163182528928
12095,Orange County,FL,"Orlando-Kissimmee-Sanford, FL",400453.659213945,415434.206273713,295022.95317181497,-3.605997492151114,35.73644182889373
36059,Nassau County,NY,"New York-Newark-Jersey City, NY-NJ-PA",816413.7463928582,781648.7551914073,619966.8558354029,4.447648764301793,31.686676264772885
39049,Franklin County,OH,"Columbus, OH",290619.21488994797,290335.0500702606,218153.97324036143,0.09787478970197938,33.2174750581987
26125,Oakland County,MI,"Detroit-Warren-Dearborn, MI",357157.9237497509,346885.3870415879,273915.13782860537,2.961363347061785,30.389991068413423
27053,Hennepin County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",381895.7391542026,375224.4538537476,329434.1642312961,1.7779452356949221,15.92475238423454
48453,Travis County,TX,"Austin-Round Rock-Georgetown, TX",470556.68019282795,501686.7718626892,437600.1911943246,-6.205085207704353,7.5311870656538105
39035,Cuyahoga County,OH,"Cleveland-Elyria, OH",210763.77046230552,201195.3868463872,150315.8803240744,4.755766901963709,40.21390820977009
42003,Allegheny County,PA,"Pittsburgh, PA",231509.1256058456,229801.51295393903,192388.6682746091,0.7430815532745605,20.33407564077383
49035,Salt Lake County,UT,"Salt Lake City, UT",567348.5770721027,557031.6641038131,434620.009454249,1.8521232513573738,30.538991470853016
06013,Contra Costa County,CA,"San Francisco-Oakland-Berkeley, CA",776977.0916316899,812142.4531573703,714897.8819082357,-4.329949923066801,8.683647174579633
51059,Fairfax County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",762084.8116477713,770116.0237693171,630714.4278913988,-1.0428574232538623,20.828821721356405
37183,Wake County,NC,"Raleigh-Cary, NC",475143.5224858451,487005.5502503477,347434.132319542,-2.435706894593892,36.75787099951546
37119,Mecklenburg County,NC,"Charlotte-Concord-Gastonia, NC-SC",417744.80249971576,421726.5875828643,302801.8377720785,-0.9441626874819975,37.95979759348613
24031,Montgomery County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",612294.7620999104,619971.8086633651,525079.2346373172,-1.2382896215887729,16.60997459227933
13121,Fulton County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",415598.2456006835,428969.54726952774,338210.9434373342,-3.1170748026183026,22.881371423656518
48085,Collin County,TX,"Dallas-Fort Worth-Arlington, TX",487176.46037299215,517306.9254164559,366451.9455891508,-5.824485148581249,32.944159865149715
04019,Pima County,AZ,"Tucson, AZ",339441.69782817824,347610.775987278,266853.90349758643,-2.3500647055310853,27.201323787736275
15003,Honolulu County,HI,"Urban Honolulu, HI",842755.6013432499,847459.0105846695,699925.6877897116,-0.5550013844533574,20.40643971856204
06019,Fresno County,CA,"Fresno, CA",404097.3114891119,402776.6273924797,309009.08054054045,0.32789491912232904,30.771985982494886
29189,Saint Louis County,MO,"St. Louis, MO-IL",277099.62854510226,273835.62716690125,212053.45993176464,1.1919564345846068,30.674419853497525
36119,Westchester County,NY,"New York-Newark-Jersey City, NY-NJ-PA",831957.8268487352,789834.1970004168,627140.5635500984,5.333224366366118,32.65890857692466
12031,Duval County,FL,"Jacksonville, FL",291613.8349262434,302208.0381832639,224446.2927036608,-3.5055994277015223,29.925886239192522
18097,Marion County,IN,"Indianapolis-Carmel-Anderson, IN",226824.04943758948,225809.82120521655,168054.49340665012,0.4491515147391212,34.97053535410781
12103,Pinellas County,FL,"Tampa-St. Petersburg-Clearwater, FL",362977.26519684336,387976.79056321527,284135.10335696675,-6.443562082690768,27.74812436350922
24033,Prince Georges County,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",423562.81699359725,425220.8567237622,366394.23898571264,-0.38992436611405834,15.603023171473463
09001,Fairfield County,CT,"Bridgeport-Stamford-Norwalk, CT",656749.7346204323,626235.9291335276,459243.52693965053,4.872573429174554,43.00685716725108
34003,Bergen County,NJ,"New York-Newark-Jersey City, NY-NJ-PA",750551.2336941137,712233.3201777762,554565.846273773,5.379966428244787,35.340327706295206
36029,Erie County,NY,"Buffalo-Cheektowaga, NY",280488.3913233976,270418.7483646574,199828.3742592941,3.7237221973830614,40.364646593901796
13135,Gwinnett County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",405254.6403237356,419374.37790829205,292112.69509209116,-3.366857473501672,38.73229309529851
55079,Milwaukee County,WI,"Milwaukee-Waukesha, WI",278124.3451202011,268261.96356864535,197350.33739879236,3.676399523942231,40.92924734057386
17043,DuPage County,IL,"Chicago-Naperville-Elgin, IL-IN-WI",422546.69098009286,402375.75119118206,317406.8762289936,5.01296107660496,33.124617840744584
47157,Shelby County,TN,"Memphis, TN-MS-AR",216246.12082500465,220009.51565649323,173575.66798194393,-1.7105600274873844,24.58319955738235
53053,Pierce County,WA,"Seattle-Tacoma-Bellevue, WA",561970.8204922107,565791.2545246407,454022.9780554688,-0.6752373780750442,23.77585445103918
06029,Kern County,CA,"Bakersfield, CA",358483.53226364776,360397.4474452481,263239.9353056751,-0.5310568083008116,36.181287177181346
09003,Hartford County,CT,"Hartford-East Hartford-Middletown, CT",367146.01852439175,349874.8856020511,243618.67559140353,4.936374010561284,50.70520256015507
48121,Denton County,TX,"Dallas-Fort Worth-Arlington, TX",440160.7675661831,463303.020806353,342923.6265459294,-4.995057705406736,28.355334393161225
26099,Macomb County,MI,"Detroit-Warren-Dearborn, MI",263057.09428189107,254312.66463788252,195580.69097649492,3.438456223350017,34.500544490614125
06075,San Francisco County,CA,"San Francisco-Oakland-Berkeley, CA",1299354.7910056678,1248933.65051582,1318859.7916888762,4.037135236849743,-1.4789290572147284
48215,Hidalgo County,TX,"McAllen-Edinburg-Mission, TX",189534.62486878183,190200.485468954,137003.4404171491,-0.3500835439670058,38.34296736759703
09009,New Haven County,CT,"New Haven-Milford, CT",388128.7185926991,372008.7842562196,259323.75368340185,4.333213359117072,49.66955902795937
48141,El Paso County,TX,"El Paso, TX",227485.4734432532,224963.81000338745,159801.8799099917,1.12091960028049,42.354691679086784
34023,Middlesex County,NJ,"New York-Newark-Jersey City, NY-NJ-PA",569535.6696074944,548937.4384024478,400605.7419311297,3.752382286949274,42.16862366026852
25027,Worcester County,MA,"Worcester, MA-CT",482000.0044095432,475730.2239245938,347066.2453464351,1.317927718198364,38.878387302810054
34013,Essex County,NJ,"New York-Newark-Jersey City, NY-NJ-PA",642159.4801098015,619073.6652234575,469899.75915667304,3.7290901201573634,36.65882299286176
42091,Montgomery County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",474432.8205076496,467270.52877051575,357344.15848809876,1.5327933811660088,32.76635681270006
24005,Baltimore County,MD,"Baltimore-Columbia-Towson, MD",354624.4962173521,350732.5546313845,290204.2968664198,1.1096607755895382,22.198223819058317
06111,Ventura County,CA,"Oxnard-Thousand Oaks-Ventura, CA",870004.7635595113,879898.5131941776,695027.7862841245,-1.1244194059097157,25.175536968223746
39061,Hamilton County,OH,"Cincinnati, OH-KY-IN",263882.00537230883,258613.87879521577,196670.01052118585,2.0370625898483263,34.17500953653669
53061,Snohomish County,WA,"Seattle-Tacoma-Bellevue, WA",752166.8736848413,761325.7893627171,556040.3994791326,-1.2030218607913423,35.27198282524597
41051,Multnomah County,OR,"Portland-Vancouver-Hillsboro, OR-WA",497294.2027279877,503508.71382407536,462140.3444409779,-1.2342410221442446,7.606749488520248
48157,Fort Bend County,TX,"Houston-The Woodlands-Sugar Land, TX",377797.8348472404,386617.9658855393,288487.2962452537,-2.2813557094007786,30.95822234267831
25009,Essex County,MA,"Boston-Cambridge-Newton, MA-NH",701803.2169617661,688495.2243721099,528906.3659274013,1.9329099343852185,32.689500859230904
25025,Suffolk County,MA,"Boston-Cambridge-Newton, MA-NH",743343.4855689319,739053.9460288297,654445.040168096,0.5804095307455182,13.583790837195764
40109,Oklahoma County,OK,"Oklahoma City, OK",219618.2761718156,220707.50749192573,168776.23191641888,-0.4935180196124378,30.123936100537342
21111,Jefferson County,KY,"Louisville/Jefferson County, KY-IN",261634.66724821815,255244.3699415642,203840.25506646428,2.5035997103939778,28.352796243759304
06077,San Joaquin County,CA,"Stockton, CA",527497.8752869287,550602.8113043569,450951.5845740388,-4.1962982286075645,16.974392225541067
13067,Cobb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",421051.6528506126,433126.90037395136,316235.2461126189,-2.787923703864459,33.14507412645145
06081,San Mateo County,CA,"San Francisco-Oakland-Berkeley, CA",1566741.1178553551,1566492.3584699023,1405763.4968271784,0.01588002546630829,11.451259147894
13089,Dekalb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",332510.80671195174,347046.7030590042,271860.8001379462,-4.188455392005586,22.309213591378672
36055,Monroe County,NY,"Rochester, NY",271044.52025802963,262977.39324349916,181594.25451826956,3.067612358245886,49.25831270215699
12071,Lee County,FL,"Cape Coral-Fort Myers, FL",339543.87640584685,374925.9545109097,264985.76816207095,-9.437084224061977,28.13664626629102
08041,El Paso County,CO,"Colorado Springs, CO",451405.63886587904,461395.5688466329,382614.201720835,-2.1651551630038512,17.979321424988814
25021,Norfolk County,MA,"Boston-Cambridge-Newton, MA-NH",750992.7543496735,743643.4392992225,587986.907599601,0.9882847964579167,27.722700053905626
17097,Lake County,IL,"Chicago-Naperville-Elgin, IL-IN-WI",379602.2106125977,358990.55629837123,265775.64102986694,5.74155892198327,42.82806698975823
29095,Jackson County,MO,"Kansas City, MO-KS",240962.78020459655,238229.95081616915,179565.44429803966,1.147139299263089,34.19217775812737
